time_s,timestamp,reactor_1.T_R_C,reactor_1.T_J_C,reactor_1.C_A,reactor_1.F_feed,reactor_1.F_cool,reactor_1.T_feed_C,reactor_1.T_cool_in_C,reactor_1.P_R,reactor_1.conversion,distillation_1.x_D,distillation_1.x_B_A,distillation_1.purity_B,distillation_1.T_top_C,distillation_1.T_bot_C,distillation_1.RR,distillation_1.F_vap_kgh,distillation_1.Q_reb_kW,distillation_1.P_top_bar,distillation_1.P_bot_bar
0.0,2026-04-01T00:00:00,80.03990875047758,39.869417290493814,152.2064120846843,2.2206924237606067,0.2912203416510577,69.86978204931377,15.01278404031673,1.9936751481531283,0.849901459671123,0.9477888506212667,0.02237567324437797,97.88926206981992,71.99928684335275,117.365597230613,6.0,2093.205122454068,260.2624548467078,1.0102193974715443,1.1601021784650336
60.0,2026-04-01T00:01:00,79.95202516413019,40.14935319083624,147.6588253378179,2.2268959094508287,0.29930461733069036,69.95716721778369,14.964786644951177,2.010646183711067,0.8534098857670908,0.9539887373068542,0.02742565374960336,97.40759910538398,71.80869541784043,116.81775814432187,6.0,2066.3122316681674,252.25912201920661,1.0188377359319203,1.1403382005149307
120.0,2026-04-01T00:02:00,79.80133994747126,40.42493916809156,151.67336450936182,2.2119493939027146,0.29700520631720084,70.02321613230667,15.011668580914073,2.0043737719345804,0.8579601704538703,0.9560324676438978,0.03175760308555737,96.89551000122589,71.84335663983505,116.8831100642683,6.0,1959.670699464988,237.99571292570556,1.0134834459479178,1.146835864110893
180.0,2026-04-01T00:03:00,80.11494191647238,40.346355571534104,152.10784234360287,2.1629768650244525,0.298493017365064,70.0162753065105,15.058622233135928,2.014224531595857,0.8575315060164553,0.9569103037726342,0.0346521769282298,96.53144592197343,71.6434799754485,116.34028158649664,6.0,1869.0985904037616,233.12833733527194,1.0214527425079198,1.1579405815717791
240.0,2026-04-01T00:04:00,79.79249697942286,40.64751561366091,150.86055902858794,2.1931943761261548,0.3020554885690083,69.93380740589333,14.963694615343492,1.9923652421200335,0.8408270155321852,0.9619015924106618,0.03858418433240712,96.0952660386754,71.67852233304897,116.52716276830161,6.0,1833.956166394501,221.89854371620174,1.0191868742487546,1.1305956540094826
300.0,2026-04-01T00:05:00,79.6056025531489,40.57147064734907,145.81848549595583,2.208795032987916,0.29592534425087974,69.96218374459606,15.129922829778607,1.9928747205787716,0.8574918225876528,0.9599772323437448,0.042460517691958445,95.68590337227187,71.4210699694689,116.46142341749844,6.0,1791.572965786817,216.620200426978,1.0139396704518928,1.1333703346745327
360.0,2026-04-01T00:06:00,79.79977838898198,40.83524112367895,149.27828215441707,2.200480747201516,0.3072080050109441,69.9760644372527,14.897650250737813,2.0035855126991264,0.8532862509990818,0.9690382154326482,0.04664383675200588,95.43697100234834,71.69423446996683,115.92989836889177,6.0,1690.0921272217263,208.04761485806995,1.0059578012949257,1.1573042358883656
420.0,2026-04-01T00:07:00,79.72212447085832,40.83749396886973,145.38427390575856,2.2068973046439044,0.3037715695555247,70.19967308916918,15.291386246600734,2.00828818866552,0.8431745965650957,0.9605972693581791,0.048701508981772425,95.11597319329162,71.23719221994914,115.9402287394109,6.0,1711.6763196738473,204.1537714555055,1.0183819246622055,1.138089981842503
480.0,2026-04-01T00:08:00,79.47096789183641,41.1272909088377,148.06122981767228,2.2388944580987578,0.300586235346628,70.0982739511023,14.950070440146085,1.9763011246716595,0.843558671321409,0.9667111476429939,0.05267796975565669,94.90398066371662,71.41222480728321,115.79743456345373,6.0,1650.5005805799424,198.58150457681597,1.0195842222334186,1.1424699415025619
540.0,2026-04-01T00:09:00,79.7560111347254,41.27279583734943,144.42398289146817,2.1718853733649683,0.30077664562974954,70.15790912564104,15.015999161357344,1.9976272334778022,0.8543820100202235,0.9745710522104811,0.052409956479647905,94.7603962406299,71.39513586259754,115.99812832856095,6.0,1613.2315754025606,191.74884628599875,1.0060447761676943,1.1689856712206592
600.0,2026-04-01T00:10:00,79.9148014156316,41.45361753200699,146.761998563523,2.2321517744293287,0.2950182944308043,69.91052729810441,15.064332679468905,1.9921078975428081,0.8520609246909356,0.9718137647504316,0.053738876093499144,94.73024393859566,71.12595324354014,115.99273569686737,6.0,1582.0951973246529,190.02176523852944,1.007568106783679,1.1399012477803192
660.0,2026-04-01T00:11:00,79.57350915370152,41.75614027370603,143.82802164117757,2.2006738928370773,0.2978212375499989,69.9672326905638,15.10027578253046,2.0107623087400786,0.8636505652246845,0.9733875652666155,0.05353135270251386,94.56607752773752,71.09445606607964,115.86622285912335,6.0,1568.920684183757,190.97455502904586,1.045678235182846,1.171583713029739
720.0,2026-04-01T00:12:00,79.4632455300303,41.71257584819043,143.28849942827787,2.1870044456928035,0.3014202225161565,70.12058536208882,14.927091616225638,1.9869170711986441,0.8340878591850098,0.9748159403936641,0.05364953434566449,94.50233315287929,70.81247031815454,115.79266953884853,6.0,1508.417051961961,194.88758061201958,1.0068682896710048,1.1373869658477715
780.0,2026-04-01T00:13:00,79.83460488624127,42.32710235179572,144.02370867132782,2.1918985229506633,0.3015369999792323,70.17286976444056,14.901314292157176,1.995094443081158,0.8591476171028029,0.9779756456642796,0.05451901319849239,94.50379192480196,70.6581669406908,115.75655848041616,6.0,1553.9747060369211,186.41239356914784,1.0248096929299604,1.1616462319049279
