time_s,timestamp,cstr.T_R_C,cstr.T_J_C,cstr.C_A,cstr.F_feed,cstr.F_cool,cstr.T_feed_C,cstr.T_cool_in_C,cstr.P_R,cstr.conversion,column.x_D,column.x_B_A,column.purity_B,column.T_top_C,column.T_bot_C,column.RR,column.F_vap_kgh,column.Q_reb_kW,column.P_top_bar,column.P_bot_bar
0.0,2026-04-01T00:00:00,77.6820366318324,57.27897095412343,175.94287469787065,2.022197977559045,0.30414103904837936,70.05771037912572,14.936353635362902,2.010839044408206,0.8258524287955105,0.9982187959704754,0.0070580216944564605,99.22761804209544,70.27099468806223,117.58734788993374,5.5,2181.734913821257,270.4969875467011,1.0132683119793235,1.1464143591505958
60.0,2026-04-01T00:01:00,77.88489571750975,57.007392334579585,174.34126236651193,2.0493974893462363,0.30507063056969264,70.07547696443123,14.985402210688477,2.025638044541194,0.8373968604192956,1.0003635219060492,0.006975446938582194,99.28487839381664,69.78652718600921,117.9664325535341,5.5,2159.2879824961856,265.0224503945861,1.02877078808305,1.1702591042198858
120.0,2026-04-01T00:02:00,77.987059430734,57.299136545134296,173.97513275736645,1.9928203597482383,0.3064347233700992,69.98435246751706,14.932624085001294,1.9872187979913558,0.8280136319264062,0.9980070009898295,0.009269319899354408,99.26614994740198,70.03910731832983,117.72643358103554,5.5,2177.3897667394112,262.41145260452737,1.014049243495266,1.14008515422618
180.0,2026-04-01T00:03:00,77.6186699729932,57.37964045753497,174.82969516794466,2.007322049756907,0.29748623232430293,69.96835171706773,14.953936025876109,1.9712746050195011,0.8398563592080758,1.000502052149226,0.006276348964210273,99.31605418893616,69.9449064460147,117.67815075366873,5.5,2216.0189450017533,270.29453287942886,1.0373798763792803,1.147138124864544
240.0,2026-04-01T00:04:00,77.77077374791354,57.36644184389528,171.87014110719582,2.0034643489657937,0.29720786120294357,70.08132737204208,15.164180101374075,1.9954699830324165,0.8232010520162565,0.9983346359886249,0.006001113707269891,99.28673190478654,70.11709884395364,117.70388160499253,5.5,2180.7260095857223,266.1282601921916,1.0184826731694232,1.165130155625444
300.0,2026-04-01T00:05:00,77.66622842791328,57.3102496121288,167.3821926847178,2.0349595627155805,0.3038264503033036,69.94842324069867,15.16581133183035,1.9940547480872148,0.817131684462501,0.9983408337385751,0.007364070611805811,99.28787538906717,70.4857262298501,117.8909153260814,5.5,2234.0087930860755,257.49183103130844,1.0161468622120156,1.1186224146009622
360.0,2026-04-01T00:06:00,77.75646914159638,57.52731854795474,168.49086869101936,2.0054328501210237,0.3014676037538686,70.07873165011904,14.964368661586795,1.994883756491197,0.8353222982590816,0.9999463217161474,0.006726218979902815,99.31457459951106,70.04785847516787,117.77046635465912,5.5,2160.083172749268,261.98390095796094,1.0344190340999195,1.141884442593096
420.0,2026-04-01T00:07:00,78.11526440406169,57.33516652757898,171.60920076098097,2.033089719848556,0.30545899362935897,70.09969986516678,14.979636464474424,1.992671423290043,0.8315231670742518,0.9995880024060222,0.006376386355688086,99.31867045745018,70.23147011645918,117.75255496247803,5.5,2190.7729522624213,263.4555864830798,1.0210221918773006,1.143558736527565
480.0,2026-04-01T00:08:00,77.70644236298212,57.439997644691225,168.40717258172714,2.011051678728565,0.2995985997583277,70.03851041741824,15.046116198661093,2.001084470856555,0.8126649148477241,0.998563768188462,0.006250016072299917,99.291877074176,70.23092338119486,117.8799426389667,5.5,2194.5085638881924,258.12849136533595,1.0219876481500612,1.157181873957913
540.0,2026-04-01T00:09:00,77.75907758614645,57.433467743780795,170.0007068744688,2.038476082709729,0.30498788453727854,69.9465216906343,15.146292258914487,1.9961983940646908,0.8457817627965061,0.9977085868022675,0.007095989725671684,99.3074361297494,69.88251081255241,117.37363475788054,5.5,2219.0237963498835,262.6719015220488,1.0166675926089501,1.1674432218895892
600.0,2026-04-01T00:10:00,77.9428903175175,57.48224634173302,174.18958410981227,1.9999687619497244,0.30056126786035703,70.01502168914564,14.98411333869395,1.9781393638072085,0.8325637193169109,0.994207566710555,0.0061016612136704845,99.2556602948785,69.9502554544662,117.88666940010027,5.5,2246.5182593958307,267.1151541453038,1.024484877451053,1.1231296880315151
