timestamp,batch.T_R_C,batch.T_J_C,batch.T_cool_in_C,batch.C_A,batch.C_P,batch.conversion,batch.F_cool,batch.dHdt
2026-01-01 00:00:00,25.0,20.0,18.0,1500.0,0.0,0.0,0.4,16.339572915190885
2026-01-01 00:01:00,24.792720268706432,22.484816855943052,18.0,1486.2271534889646,13.772846511035368,0.00918189767402358,0.4,15.890134395683692
2026-01-01 00:02:00,24.832040522512557,23.564553439727376,18.0,1472.660175809273,27.339824190727086,0.018226549460484725,0.4,15.800967152469463
2026-01-01 00:03:00,24.96778651301065,24.097992366693006,18.0,1459.102022602199,40.897977397801014,0.027265318265200678,0.4,15.848053066486232
2026-01-01 00:04:00,25.141488073301787,24.419288299321977,18.0,1445.4776095806978,54.522390419302155,0.03634826027953477,0.4,15.94733728033126
2026-01-01 00:05:00,25.33038138987763,24.658451717586843,18.0,1431.7582578164463,68.2417421835537,0.0454944947890358,0.4,16.066365405915185
2026-01-01 00:06:00,25.52559670773809,24.866059254984407,18.0,1417.9333266610884,82.06667333891164,0.05471111555927443,0.4,16.19242116891156
2026-01-01 00:07:00,25.723668869006133,25.061778690273513,18.0,1403.9992838929297,96.00071610707028,0.06400047740471351,0.4,16.320448367664707
2026-01-01 00:08:00,25.923234109826865,25.253249825339424,18.0,1389.955452972055,110.0445470279451,0.0733630313519634,0.4,16.448378263282112
2026-01-01 00:09:00,26.123744893568357,25.443431011156918,18.0,1375.8023538483324,124.19764615166764,0.08279843076777843,0.4,16.575307306008312
2026-01-01 00:10:00,26.324969871894154,25.63345769986131,18.0,1361.5410568158861,138.45894318411388,0.09230596212274259,0.4,16.700784237982422
2026-01-01 00:11:00,26.526799291834493,25.823754710145067,18.0,1347.17293292716,152.82706707284,0.10188471138189334,0.4,16.824530855796873
2026-01-01 00:12:00,26.729169233703715,26.014468990187538,18.0,1332.6995597758955,167.30044022410448,0.11153362681606965,0.4,16.94633257919097
2026-01-01 00:13:00,26.93203207997624,26.20563797077881,18.0,1318.1226881739792,181.8773118260208,0.12125154121734719,0.4,17.065995558927607
2026-01-01 00:14:00,27.13534497097936,26.39725502804663,18.0,1303.4442326927738,196.55576730722623,0.1310371782048175,0.4,17.18332987427432
2026-01-01 00:15:00,27.339065259288702,26.589294907429064,18.0,1288.6662715435502,211.33372845644976,0.14088915230429985,0.4,17.298142973001614
2026-01-01 00:16:00,27.54314868810428,26.7817235670056,18.0,1273.791050087747,226.20894991225305,0.1508059666081687,0.4,17.410237146475477
2026-01-01 00:17:00,27.747548630791982,26.974501958264682,18.0,1258.8209857203744,241.17901427962556,0.16078600951975036,0.4,17.519408609839243
2026-01-01 00:18:00,27.952215745007663,27.16758744865581,18.0,1243.7586732207417,256.2413267792583,0.1708275511861722,0.4,17.625447237506048
2026-01-01 00:19:00,28.157097790245302,27.360934327893915,18.0,1228.6068901919193,271.3931098080807,0.1809287398720538,0.4,17.728136584203586
2026-01-01 00:20:00,28.36213951153826,27.55449395958493,18.0,1213.3686024149106,286.6313975850894,0.19108759839005962,0.4,17.827254049081727
2026-01-01 00:21:00,28.567282551954406,27.74821479715115,18.0,1198.0469690216003,301.95303097839974,0.2013020206522665,0.4,17.92257112941856
